iter	Passed	Remaining
0	106	106237
1	107	53683
2	108	36119
3	108	27133
4	109	21740
5	109	18145
6	109	15581
7	110	13656
8	110	12156
9	110	10956
10	110	9975
11	111	9156
12	111	8463
13	111	7869
14	112	7355
15	112	6905
16	112	6508
17	112	6155
18	113	5839
19	113	5554
20	113	5297
21	113	5063
22	114	4851
23	114	4654
24	114	4474
25	114	4307
26	115	4153
27	115	4010
28	115	3876
29	116	3751
30	116	3635
31	116	3525
32	116	3425
33	117	3330
34	117	3239
35	117	3154
36	118	3073
37	118	2995
38	118	2922
39	118	2853
40	119	2787
41	119	2724
42	119	2663
43	119	2606
44	120	2551
45	120	2498
46	120	2448
47	121	2400
48	121	2353
49	121	2309
50	121	2266
51	122	2225
52	122	2185
53	122	2147
54	122	2110
55	123	2075
56	123	2040
57	123	2007
58	123	1975
59	124	1944
60	124	1916
61	124	1887
62	125	1860
63	125	1832
64	125	1806
65	125	1780
66	126	1756
67	126	1731
68	126	1708
69	126	1685
70	127	1663
71	127	1642
72	127	1621
73	127	1600
74	128	1581
75	128	1562
76	128	1543
77	129	1524
78	129	1507
79	129	1489
80	129	1472
81	130	1455
82	130	1439
83	130	1423
84	130	1408
85	131	1393
86	131	1379
87	131	1365
88	132	1351
89	132	1337
90	132	1324
91	132	1311
92	133	1298
93	133	1285
94	133	1273
95	133	1260
96	134	1249
97	134	1237
98	134	1225
99	134	1214
100	135	1203
101	135	1193
102	135	1182
103	136	1172
104	136	1161
105	136	1151
106	136	1142
107	137	1132
108	137	1123
109	137	1113
110	137	1104
111	138	1095
112	138	1087
113	138	1078
114	139	1070
115	139	1062
116	139	1054
117	139	1046
118	140	1038
119	140	1031
120	140	1024
121	141	1016
122	141	1008
123	141	1001
124	142	994
125	142	987
126	142	980
127	142	973
128	143	966
129	143	959
130	143	952
131	143	946
132	144	939
133	144	933
134	144	927
135	144	921
136	145	915
137	145	909
138	145	903
139	146	897
140	146	891
141	146	886
142	146	880
143	147	874
144	147	870
145	147	864
146	148	859
147	148	854
148	148	848
149	148	843
150	149	838
151	149	833
152	149	828
153	149	823
154	150	819
155	150	814
156	150	809
157	151	804
158	151	800
159	151	795
160	151	791
161	152	786
162	152	782
163	152	778
164	152	773
165	153	769
166	153	765
167	153	761
168	153	757
169	154	753
170	154	749
171	154	745
172	155	741
173	155	737
174	155	733
175	155	730
176	156	726
177	156	722
178	156	718
179	156	715
180	157	711
181	157	707
182	157	704
183	158	700
184	158	697
185	158	693
186	158	690
187	159	686
188	159	683
189	159	680
190	159	676
191	160	673
192	160	670
193	160	667
194	160	664
195	161	660
196	161	657
197	161	654
198	161	651
199	162	648
200	162	645
201	162	642
202	162	639
203	163	636
204	163	634
205	163	631
206	164	628
207	164	625
208	164	622
209	164	620
210	165	617
211	165	614
212	165	611
213	165	609
214	166	606
215	166	604
216	166	601
217	167	599
218	167	597
219	167	594
220	168	592
221	168	589
222	168	587
223	168	585
224	169	583
225	169	580
226	169	578
227	170	575
228	170	573
229	170	571
230	170	568
231	171	566
232	171	564
233	171	561
234	171	559
235	172	557
236	172	555
237	172	552
238	172	550
239	173	548
240	173	546
241	173	544
242	174	542
243	174	540
244	174	538
245	174	535
246	175	533
247	175	531
248	175	529
249	175	527
250	176	525
251	176	523
252	176	521
253	176	519
254	177	517
255	177	515
256	177	514
257	178	512
258	178	510
259	178	508
260	178	506
261	179	504
262	179	502
263	179	500
264	179	498
265	180	497
266	180	495
267	180	493
268	180	491
269	181	489
270	181	488
271	181	486
272	181	484
273	182	482
274	182	481
275	182	479
276	183	477
277	183	476
278	183	474
279	183	472
280	184	471
281	184	469
282	184	468
283	185	466
284	185	465
285	185	463
286	185	461
287	186	460
288	186	458
289	186	457
290	186	455
291	187	454
292	187	452
293	187	451
294	188	449
295	188	448
296	188	446
297	188	445
298	189	443
299	189	442
300	189	440
301	190	439
302	190	437
303	190	436
304	190	434
305	191	433
306	191	431
307	191	430
308	191	429
309	192	427
310	192	426
311	192	424
312	192	423
313	193	422
314	193	420
315	193	419
316	193	417
317	194	416
318	194	415
319	194	413
320	195	412
321	195	411
322	195	409
323	195	408
324	196	407
325	196	405
326	196	404
327	196	403
328	197	401
329	197	400
330	197	399
331	197	398
332	198	396
333	198	395
334	198	394
335	198	393
336	199	392
337	199	391
338	199	389
339	200	388
340	200	387
341	200	386
342	201	385
343	201	383
344	201	382
345	201	381
346	202	380
347	202	379
348	202	378
349	203	377
350	203	375
351	203	374
352	203	373
353	204	372
354	204	371
355	204	370
356	204	368
357	205	367
358	205	366
359	205	365
360	205	364
361	206	363
362	206	362
363	206	361
364	207	360
365	207	359
366	207	358
367	207	357
368	208	355
369	208	354
370	208	353
371	208	352
372	209	351
373	209	350
374	209	349
375	209	348
376	210	347
377	210	346
378	210	345
379	211	344
380	211	343
381	211	342
382	211	341
383	212	340
384	212	339
385	212	338
386	212	337
387	213	336
388	213	335
389	213	334
390	214	333
391	214	332
392	214	331
393	214	330
394	215	329
395	215	328
396	215	327
397	215	326
398	216	325
399	216	324
400	216	323
401	217	322
402	217	321
403	217	320
404	217	319
405	218	319
406	218	318
407	218	317
408	218	316
409	219	315
410	219	314
411	219	313
412	219	312
413	220	311
414	220	310
415	220	309
416	220	308
417	221	308
418	221	307
419	221	306
420	222	305
421	222	304
422	222	303
423	222	302
424	223	301
425	223	300
426	223	300
427	223	299
428	224	298
429	224	297
430	224	296
431	224	295
432	225	294
433	225	294
434	225	293
435	225	292
436	226	291
437	226	290
438	226	289
439	226	288
440	227	287
441	227	287
442	227	286
443	228	285
444	228	284
445	228	283
446	228	283
447	229	282
448	229	281
449	229	280
450	229	279
451	230	279
452	230	278
453	230	277
454	230	276
455	231	275
456	231	275
457	231	274
458	232	273
459	232	272
460	232	271
461	232	271
462	233	270
463	233	269
464	233	268
465	233	267
466	234	267
467	234	266
468	234	265
469	234	264
470	235	264
471	235	263
472	235	262
473	235	261
474	236	261
475	236	260
476	236	259
477	236	258
478	237	258
479	237	257
480	237	256
481	238	255
482	238	255
483	238	254
484	238	253
485	239	252
486	239	252
487	239	251
488	239	250
489	240	250
490	240	249
491	240	248
492	241	247
493	241	247
494	241	246
495	241	245
496	242	244
497	242	244
498	242	243
499	242	242
500	243	242
501	243	241
502	243	240
503	244	240
504	244	239
505	244	238
506	244	238
507	245	237
508	245	236
509	245	236
510	245	235
511	246	234
512	246	234
513	246	233
514	247	232
515	247	232
516	247	231
517	247	230
518	248	230
519	248	229
520	248	228
521	249	228
522	249	227
523	249	226
524	249	226
525	250	225
526	250	224
527	250	224
528	250	223
529	251	222
530	251	222
531	251	221
532	251	220
533	252	220
534	252	219
535	252	218
536	253	218
537	253	217
538	253	216
539	253	216
540	254	215
541	254	214
542	254	214
543	254	213
544	255	212
545	255	212
546	255	211
547	255	211
548	256	210
549	256	209
550	256	209
551	256	208
552	257	207
553	257	207
554	257	206
555	257	206
556	258	205
557	258	204
558	258	204
559	259	203
560	259	203
561	259	202
562	259	201
563	260	201
564	260	200
565	260	199
566	261	199
567	261	198
568	261	198
569	261	197
570	262	196
571	262	196
572	262	195
573	262	195
574	263	194
575	263	193
576	263	193
577	263	192
578	264	192
579	264	191
580	264	190
581	264	190
582	265	189
583	265	189
584	265	188
585	266	187
586	266	187
587	266	186
588	266	186
589	267	185
590	267	185
591	267	184
592	268	184
593	268	183
594	268	182
595	268	182
596	269	181
597	269	181
598	269	180
599	269	179
600	270	179
601	270	178
602	270	178
603	271	177
604	271	177
605	271	176
606	271	176
607	272	175
608	272	174
609	272	174
610	273	173
611	273	173
612	273	172
613	273	172
614	274	171
615	274	171
616	274	170
617	274	169
618	275	169
619	275	168
620	275	168
621	276	167
622	276	167
623	276	166
624	276	166
625	277	165
626	277	165
627	277	164
628	277	163
629	278	163
630	278	162
631	278	162
632	278	161
633	279	161
634	279	160
635	279	160
636	279	159
637	280	159
638	280	158
639	280	157
640	281	157
641	281	156
642	281	156
643	281	155
644	282	155
645	282	154
646	282	154
647	282	153
648	283	153
649	283	152
650	283	152
651	283	151
652	284	151
653	284	150
654	284	149
655	284	149
656	285	148
657	285	148
658	285	147
659	286	147
660	286	146
661	286	146
662	286	145
663	287	145
664	287	144
665	287	144
666	288	143
667	288	143
668	288	142
669	289	142
670	289	141
671	289	141
672	290	140
673	290	140
674	290	139
675	290	139
676	291	138
677	291	138
678	291	137
679	291	137
680	292	136
681	292	136
682	292	135
683	292	135
684	293	134
685	293	134
686	293	133
687	293	133
688	294	132
689	294	132
690	294	131
691	294	131
692	295	130
693	295	130
694	295	129
695	296	129
696	296	128
697	296	128
698	297	127
699	297	127
700	297	126
701	297	126
702	298	125
703	298	125
704	298	124
705	298	124
706	299	123
707	299	123
708	299	123
709	299	122
710	300	121
711	300	121
712	300	121
713	300	120
714	301	120
715	301	119
716	301	119
717	302	118
718	302	118
719	302	117
720	302	117
721	303	116
722	303	116
723	303	115
724	303	115
725	304	114
726	304	114
727	304	113
728	305	113
729	305	112
730	305	112
731	305	111
732	306	111
733	306	111
734	306	110
735	306	110
736	307	109
737	307	109
738	307	108
739	307	108
740	308	107
741	308	107
742	308	106
743	309	106
744	309	105
745	309	105
746	309	104
747	310	104
748	310	104
749	310	103
750	310	103
751	311	102
752	311	102
753	311	101
754	312	101
755	312	100
756	312	100
757	312	99
758	313	99
759	313	98
760	313	98
761	313	98
762	314	97
763	314	97
764	314	96
765	314	96
766	315	95
767	315	95
768	315	94
769	315	94
770	316	93
771	316	93
772	316	93
773	317	92
774	317	92
775	317	91
776	318	91
777	318	90
778	318	90
779	318	89
780	319	89
781	319	89
782	319	88
783	319	88
784	320	87
785	320	87
786	320	86
787	320	86
788	321	85
789	321	85
790	321	85
791	322	84
792	322	84
793	322	83
794	322	83
795	323	82
796	323	82
797	323	81
798	323	81
799	324	81
800	324	80
801	324	80
802	324	79
803	325	79
804	325	78
805	325	78
806	326	77
807	326	77
808	326	77
809	326	76
810	327	76
811	327	75
812	327	75
813	327	74
814	328	74
815	328	74
816	328	73
817	328	73
818	329	72
819	329	72
820	329	71
821	329	71
822	330	71
823	330	70
824	330	70
825	330	69
826	331	69
827	331	68
828	331	68
829	332	68
830	332	67
831	332	67
832	332	66
833	333	66
834	333	65
835	333	65
836	334	65
837	334	64
838	334	64
839	334	63
840	335	63
841	335	62
842	335	62
843	335	62
844	336	61
845	336	61
846	336	60
847	336	60
848	337	59
849	337	59
850	337	59
851	337	58
852	338	58
853	338	57
854	338	57
855	338	57
856	339	56
857	339	56
858	339	55
859	339	55
860	340	54
861	340	54
862	340	54
863	341	53
864	341	53
865	341	52
866	341	52
867	342	52
868	342	51
869	342	51
870	342	50
871	343	50
872	343	49
873	343	49
874	343	49
875	344	48
876	344	48
877	344	47
878	344	47
879	345	47
880	345	46
881	345	46
882	346	45
883	346	45
884	346	45
885	346	44
886	347	44
887	347	43
888	347	43
889	347	43
890	348	42
891	348	42
892	348	41
893	348	41
894	349	40
895	349	40
896	349	40
897	349	39
898	350	39
899	350	38
900	350	38
901	351	38
902	351	37
903	351	37
904	351	36
905	352	36
906	352	36
907	352	35
908	352	35
909	353	34
910	353	34
911	353	34
912	353	33
913	354	33
914	354	32
915	354	32
916	355	32
917	355	31
918	355	31
919	355	30
920	356	30
921	356	30
922	356	29
923	357	29
924	357	28
925	357	28
926	358	28
927	358	27
928	358	27
929	359	27
930	359	26
931	359	26
932	360	25
933	360	25
934	360	25
935	361	24
936	361	24
937	361	23
938	362	23
939	362	23
940	362	22
941	363	22
942	363	21
943	363	21
944	364	21
945	364	20
946	364	20
947	365	20
948	365	19
949	365	19
950	366	18
951	366	18
952	366	18
953	366	17
954	367	17
955	367	16
956	367	16
957	367	16
958	368	15
959	368	15
960	368	14
961	368	14
962	369	14
963	369	13
964	369	13
965	370	13
966	370	12
967	370	12
968	370	11
969	371	11
970	371	11
971	371	10
972	372	10
973	372	9
974	372	9
975	372	9
976	373	8
977	373	8
978	373	8
979	373	7
980	374	7
981	374	6
982	374	6
983	374	6
984	375	5
985	375	5
986	375	4
987	376	4
988	376	4
989	376	3
990	377	3
991	377	3
992	377	2
993	378	2
994	378	1
995	378	1
996	378	1
997	379	0
998	379	0
999	379	0
